Date,CHRW_Volume,CHRW_Close,EHC_Volume,EHC_Close,DHI_Volume,DHI_Close,LW_Volume,LW_Close,FAST_Volume,FAST_Close,THG_Volume,THG_Close,ATO_Volume,ATO_Close,TGT_Volume,TGT_Close,WCC_Volume,WCC_Close,AMG_Volume,AMG_Close,XLK_Volume,XLK_Close,XLF_Volume,XLF_Close,XLI_Volume,XLI_Close,XLV_Volume,XLV_Close,XLY_Volume,XLY_Close,XLP_Volume,XLP_Close,XLU_Volume,XLU_Close,XLRE_Volume,XLRE_Close,XLC_Volume,XLC_Close,XLE_Volume,XLE_Close,XLB_Volume,XLB_Close,SPY_Volume,SPY_Close,sp500_Volume,sp500_Close,days,week
2020-01-02,1258800,67.25431060791016,653891,51.171627044677734,3492000,49.28207015991211,1593400,75.76337432861328,8380600,15.788178443908691,173400,117.8051528930664,906900,94.61129760742188,5149800,106.47151947021484,1567700,57.13081741333008,551100,83.52255249023438,26567000,44.2941780090332,28843300,27.64296531677246,16121300,75.15055084228516,6277400,92.30609130859375,12591000,60.155189514160156,14460700,52.98992919921875,38215400,26.26491928100586,4380100,31.01463508605957,6379500.0,51.052101135253906,23889400,23.35608673095703,14714800,26.7652530670166,59151200,296.8880615234375,3459930000,3257.85009765625,0,626
2020-01-03,892000,67.17655944824219,816547,51.17902374267578,4330400,49.647666931152344,3940600,84.29566955566406,8202600,15.508296966552734,251900,117.8051528930664,724200,95.23700714111328,5018500,105.36515808105469,2559700,57.198734283447266,551600,82.48834991455078,30023600,43.79616928100586,51363600,27.349470138549805,17571300,75.00569152832031,8247500,91.501708984375,11192800,59.64327621459961,26388900,52.90512466430664,35978600,26.31842803955078,3499000,31.241851806640625,2351400.0,50.72279739379883,59005800,23.28668785095215,24846400,26.333127975463867,77709700,294.6401672363281,3484700000,3234.85009765625,1,626
2020-01-06,1098300,66.11367797851562,1354040,50.99403762817383,4305500,50.06953048706055,1960200,81.71886444091797,8270400,15.266571998596191,326100,118.3662109375,822900,95.10844421386719,4226900,104.36859893798828,987300,56.762107849121094,376300,82.86622619628906,15630000,43.9005241394043,27956100,27.331676483154297,16153100,75.03284454345703,6441800,92.07109832763672,12823200,59.80916976928711,22541700,53.015377044677734,20889000,26.343120574951172,3097200,31.24996566772461,2535900.0,51.400245666503906,44916200,23.467893600463867,31528800,26.21848487854004,55653900,295.7640686035156,3702460000,3246.280029296875,4,627
2020-01-07,1147100,67.677734375,546418,50.4835205078125,4440400,49.88202667236328,1768800,82.17839050292969,6216600,15.236888885498047,134800,117.56343841552734,875500,95.74272918701172,3641600,104.5544204711914,815300,57.62566375732422,432000,81.93146514892578,15363600,43.881553649902344,39627500,27.153791427612305,16675400,74.87893676757812,6335300,91.8903579711914,18301600,59.7143669128418,15607600,52.6082878112793,26140600,26.306076049804688,3550600,30.909149169921875,2642800.0,51.466094970703125,22925000,23.406206130981445,40533800,26.1876163482666,40496400,294.9325256347656,3435910000,3237.179931640625,5,627
2020-01-08,1132400,68.0925064086914,1080266,50.979244232177734,5279600,50.153900146484375,1516400,82.2234115600586,7591800,15.351387023925781,191800,117.78787231445312,905100,94.91986846923828,5731600,104.2165756225586,683300,57.76150131225586,541700,82.07066345214844,23254400,44.351097106933594,47966600,27.331676483154297,10677700,75.13243865966797,7494700,92.48686981201172,9451800,59.89448547363281,11451400,52.8033447265625,25482800,26.293731689453125,5089000,31.06331443786621,4161200.0,51.833030700683594,38042800,23.020668029785156,16159200,26.280216217041016,68296000,296.5044250488281,3726840000,3253.050048828125,6,627
2020-01-09,816400,68.63691711425781,996173,50.979244232177734,5505200,49.93829345703125,945700,81.79997253417969,7622800,15.359867095947266,139700,119.07400512695312,834600,95.22843933105469,5369700,104.30104064941406,1622400,56.8009147644043,670100,82.46846771240234,15554800,44.853843688964844,27705300,27.50066566467285,7407200,75.44929504394531,6660600,92.88453674316406,7643000,60.21207046508789,6854500,53.1765022277832,23286200,26.43779945373535,2885000,31.055217742919922,2297100.0,52.10589599609375,30733600,23.190305709838867,7572400,26.377227783203125,48473300,298.51495361328125,3641230000,3274.699951171875,7,627
2020-01-10,1427100,69.23313903808594,1161468,52.51084518432617,3681100,50.40701675415039,908900,81.52067565917969,7084800,15.406519889831543,161300,118.2107925415039,543400,95.47702026367188,4678000,105.3398208618164,693300,56.41279983520508,865800,82.46846771240234,15330600,44.7495002746582,33458200,27.296104431152344,8856800,74.91514587402344,9300300,92.91165924072266,7407000,59.885009765625,7410800,53.14259719848633,21165800,26.507774353027344,6513200,31.355457305908203,1941800.0,51.898895263671875,18302400,23.059221267700195,11274800,26.271398544311523,53029300,297.6557922363281,3214580000,3265.35009765625,8,627
2020-01-13,938800,69.52694702148438,1837734,56.73570251464844,2383600,50.219520568847656,1586800,82.1963882446289,6335200,15.516775131225586,202500,118.12451934814453,403400,96.46273040771484,3632800,104.61353302001953,3297700,54.75359344482422,400000,84.07943725585938,15524400,45.30917739868164,27542700,27.482877731323242,7893800,75.53076934814453,7621700,92.5862808227539,6449200,60.07460403442383,9625700,53.49031448364258,25342200,26.668296813964844,2988100,31.73685073852539,2854000.0,52.38815689086914,17557000,23.066930770874023,8818600,26.61092185974121,47086800,299.702880859375,3459390000,3288.1298828125,11,628
2020-01-14,1377900,70.64166259765625,1472073,57.3794059753418,2578700,50.89448928833008,685500,81.69184112548828,10991200,15.614312171936035,203900,118.94452667236328,601400,96.69415283203125,3291900,105.78741455078125,2399500,54.724491119384766,420900,84.30815124511719,16134600,45.09573745727539,37575400,27.429513931274414,9649400,75.53984069824219,7294900,93.1466293334961,8681200,60.055641174316406,7512300,53.50727844238281,22990000,26.746509552001953,3720200,31.582674026489258,2909600.0,52.256439208984375,34678000,23.070781707763672,11010200,26.500686645507812,62832800,299.2458801269531,3687620000,3283.14990234375,12,628
2020-01-15,2229500,72.15387725830078,1258886,57.342411041259766,3846500,51.50383758544922,809300,81.88105010986328,8731600,15.60158920288086,187200,119.48831176757812,561900,97.49987030029297,26743400,98.8115005493164,1481200,53.94825744628906,456500,84.21868133544922,14417000,45.14790725708008,41457300,27.278310775756836,12014500,75.65752410888672,7521800,93.95103454589844,6523800,59.918190002441406,12454300,53.88893127441406,31771800,27.121076583862305,4468700,31.8017635345459,2136800.0,52.510467529296875,21661600,22.90114974975586,7797000,26.681476593017578,72056600,299.9222412109375,3721490000,3289.2900390625,13,628
