Date,CHRW_Volume,CHRW_Close,EHC_Volume,EHC_Close,DHI_Volume,DHI_Close,LW_Volume,LW_Close,FAST_Volume,FAST_Close,THG_Volume,THG_Close,ATO_Volume,ATO_Close,TGT_Volume,TGT_Close,WCC_Volume,WCC_Close,AMG_Volume,AMG_Close,XLK_Volume,XLK_Close,XLF_Volume,XLF_Close,XLI_Volume,XLI_Close,XLV_Volume,XLV_Close,XLY_Volume,XLY_Close,XLP_Volume,XLP_Close,XLU_Volume,XLU_Close,XLRE_Volume,XLRE_Close,XLC_Volume,XLC_Close,XLE_Volume,XLE_Close,XLB_Volume,XLB_Close,SPY_Volume,SPY_Close,sp500_Volume,sp500_Close
2018-01-02,988800,74.12165069580078,420341,36.7622184753418,3356400,46.61941146850586,938900,48.77177047729492,8326400,10.947261810302734,222000,83.435302734375,668800,69.833984375,8509000,53.56399917602539,416400,64.8155288696289,273100,197.49789428710938,27445600,29.872926712036133,55436100,23.884143829345703,14903900,66.25483703613281,6708900,72.72333526611328,9791200,46.27524185180664,20146800,45.3145637512207,24540000,20.132579803466797,1744200,24.83758544921875,,,29782800,25.74726104736328,17958400,25.995677947998047,86655700,236.5621337890625,3397430000,2695.81005859375
2018-01-03,1214300,73.9151840209961,898378,36.3973274230957,4104500,48.26287078857422,1631600,49.379520416259766,8122400,10.951275825500488,157400,83.45877075195312,460400,69.2591323852539,6057500,53.199668884277344,406200,64.71849822998047,278900,196.60299682617188,22663600,30.122095108032227,56906200,24.012454986572266,18155000,66.6117172241211,7606500,73.41917419433594,10638000,46.487693786621094,17950400,45.29853057861328,41615800,19.974424362182617,1715100,24.845155715942383,,,38599200,26.132862091064453,9904600,26.177757263183594,90070400,238.0584716796875,3544030000,2713.06005859375
2018-01-04,1610700,74.10514831542969,920878,37.52779769897461,3087000,47.54156494140625,3492400,50.401302337646484,8360400,10.995434761047363,146200,84.10772705078125,386900,68.96353912353516,7124500,52.154212951660156,784700,64.6214599609375,362900,193.12071228027344,21493200,30.274362564086914,62247000,24.234872817993164,16483000,67.09912109375,7762500,73.52354431152344,6914800,46.64011764526367,15455100,45.42677688598633,29943600,19.808549880981445,1824100,24.420459747314453,,,28613600,26.29060173034668,8240200,26.40642738342285,80636400,239.06179809570312,3697340000,2723.989990234375
2018-01-05,902500,73.98126983642578,733962,37.5421257019043,2732500,47.925045013427734,2317200,50.82410430908203,6968000,11.017513275146484,76200,84.14683532714844,377700,68.31480407714844,5549700,52.7086296081543,265000,64.28187561035156,247700,194.02532958984375,19356000,30.592742919921875,37989500,24.30331039428711,16996200,67.5604476928711,7579300,74.14979553222656,8588800,47.009620666503906,15555100,45.62713623046875,46832600,19.80083656311035,1400200,24.47355079650879,,,28408800,26.280086517333984,9344000,26.618152618408203,83524000,240.65492248535156,3239280000,2743.14990234375
2018-01-08,1083100,74.98068237304688,1233871,35.81776809692383,3389100,48.271995544433594,958600,51.58161544799805,9034000,11.133928298950195,154000,83.9122543334961,759800,68.52828216552734,8337200,53.20758056640625,382800,64.57295989990234,230900,195.05641174316406,13467800,30.70811653137207,44252100,24.26909065246582,5727500,67.83897399902344,5167300,73.88016510009766,5340000,47.065040588378906,12891000,45.73933792114258,28601000,19.985994338989258,990600,24.640405654907227,,,19558400,26.43783187866211,9078200,26.656261444091797,57319200,241.09498596191406,3246160000,2747.7099609375
2018-01-09,1932600,75.54234313964844,1116090,35.81776809692383,3474000,48.2354736328125,891700,51.12357711791992,7668000,11.11185359954834,198100,84.45177459716797,579100,67.82206726074219,18160800,54.75992965698242,609100,65.05810546875,304800,194.80349731445312,21212800,30.62965965270996,51418700,24.457292556762695,8967700,68.27417755126953,6962900,74.74996185302734,6321800,47.15742492675781,8357600,45.675235748291016,30877400,19.789257049560547,1277200,24.359786987304688,,,18469000,26.371231079101562,9511000,26.613916397094727,57254000,241.6407928466797,3467460000,2751.2900390625
2018-01-10,1043100,75.52582550048828,997932,35.538734436035156,4583900,46.537235260009766,997800,50.97384262084961,12402000,10.921168327331543,173000,85.02253723144531,475300,66.35212707519531,10985200,56.019248962402344,449100,62.874935150146484,333000,192.9651336669922,20815600,30.523540496826172,64670900,24.662593841552734,11669500,68.26544952392578,10835800,74.6195068359375,5677800,47.125091552734375,9663500,45.45082473754883,31124000,19.5732364654541,2174500,23.9805908203125,,,21644000,26.339677810668945,8440800,26.4530029296875,69574300,241.27105712890625,3579900000,2748.22998046875
2018-01-11,1060300,77.57420349121094,1091327,36.13973617553711,4170700,47.51417922973633,1429700,51.088348388671875,8438400,11.057658195495605,125700,86.08592224121094,617700,65.69517517089844,12186000,58.609127044677734,323400,64.42740631103516,264400,195.2412109375,15775600,30.64812469482422,42361700,24.782360076904297,9448300,69.1358642578125,4247800,74.9413070678711,7245400,47.89180374145508,11500800,45.38669204711914,33091000,19.49994659423828,1343200,23.82891082763672,,,36179000,26.879514694213867,11642600,26.800235748291016,62361500,243.03140258789062,3645690000,2767.56005859375
2018-01-12,983300,77.87152862548828,738488,36.81946563720703,1781100,47.39548873901367,1095800,51.3349723815918,8502000,11.1580171585083,98100,86.6879653930664,738000,65.56379699707031,14846000,60.826759338378906,283300,65.30067443847656,245500,197.26446533203125,16308600,30.82809066772461,44537500,25.004770278930664,7436200,69.77994537353516,5391700,75.51537322998047,8075600,48.51070022583008,7308900,45.402732849121094,37270600,19.388076782226562,1657200,23.654478073120117,,,39638400,27.138916015625,9097400,26.842580795288086,90816100,244.61572265625,3587220000,2786.239990234375
2018-01-16,1601300,76.78955078125,1406583,36.712135314941406,2336100,46.40941619873047,1013600,51.54637908935547,15071600,11.127909660339355,182900,86.9772720336914,635200,65.7773208618164,10167900,59.369468688964844,225400,64.1848373413086,387200,197.46871948242188,36443600,30.70811653137207,67563800,24.936342239379883,13343700,69.15328216552734,8920000,75.8893814086914,18503200,48.16429901123047,13806700,45.61109161376953,54585600,19.345638275146484,5520200,23.768238067626953,,,33789800,26.79538345336914,17025800,26.52922821044922,106555100,243.77947998046875,4362880000,2776.419921875
2018-01-17,1104300,76.79779052734375,862553,37.384708404541016,2935800,47.56896209716797,680100,52.26865768432617,34826000,10.477578163146973,120800,88.26737213134766,836300,66.36856842041016,7083700,60.84262466430664,473700,62.923458099365234,331100,202.01119995117188,29376200,31.1695499420166,54312000,25.12453842163086,7814300,69.53627014160156,7214600,76.62001037597656,13312200,48.39523696899414,12549700,46.132057189941406,46903200,19.465227127075195,1713400,23.904754638671875,,,28014800,27.030242919921875,21698800,26.652027130126953,113258800,246.10308837890625,3790340000,2802.56005859375
2018-01-18,1378400,77.37596130371094,457297,37.148590087890625,3931900,46.50984573364258,1657000,51.9956169128418,23293600,10.696361541748047,105100,87.00072479248047,1005100,66.26179504394531,7668600,61.697994232177734,283000,62.874935150146484,216500,199.71566772460938,29845800,31.224910736083984,49247400,25.090322494506836,7790400,69.16199493408203,7954800,76.63740539550781,6584600,48.353668212890625,12423300,45.995811462402344,42659400,19.341785430908203,2276600,23.67723274230957,,,23029200,26.809406280517578,11787400,26.635087966918945,100728000,245.6895294189453,3703300000,2798.030029296875
2018-01-19,1622300,78.598388671875,548429,37.51350021362305,3502900,47.00287628173828,976700,52.88525390625,13878000,10.788692474365234,75000,87.7826156616211,837100,66.37677001953125,7808100,61.85637283325195,213100,63.79671859741211,490000,206.21334838867188,23894400,31.2849063873291,60727800,25.26997184753418,8657700,69.36217498779297,4802400,76.9244384765625,7520800,48.77397155761719,9962800,46.50874328613281,37263800,19.283924102783203,1641000,23.844083786010742,,,25925400,26.77434539794922,9866400,26.796005249023438,140920100,246.8073272705078,3724230000,2810.300048828125
2018-01-22,972500,78.82139587402344,454783,37.88555145263672,4770800,47.81547927856445,794100,53.11426544189453,12414800,10.905113220214844,91500,89.15090942382812,620600,66.84486389160156,5621600,62.23655700683594,276400,63.60266876220703,259900,208.12953186035156,18004200,31.589435577392578,46868900,25.47527313232422,12175300,69.36217498779297,11152500,77.42892456054688,15504600,49.31437301635742,7871600,46.86137771606445,41073000,19.310922622680664,2095700,24.071598052978516,,,34033400,27.352746963500977,11438000,26.732481002807617,91322400,248.81402587890625,3489480000,2832.969970703125
2018-01-23,1021500,78.38365173339844,304697,37.964256286621094,3872300,47.82461166381836,577400,53.13188171386719,11826000,10.921168327331543,138900,89.67475891113281,957100,67.55106353759766,5372700,61.872257232666016,206800,63.214542388916016,222400,207.10821533203125,20460200,31.72787094116211,60862000,25.500940322875977,8953800,69.39698028564453,7637600,77.05491638183594,8309800,49.73005676269531,10908900,46.709102630615234,53347800,19.4960880279541,1873300,24.44321632385254,,,20369800,27.310680389404297,8043000,26.728248596191406,97084700,249.34213256835938,3541140000,2839.1298828125
2018-01-24,1765600,79.44087219238281,716490,37.835479736328125,3310700,47.34069061279297,828300,52.73552322387695,21935200,11.412933349609375,131400,89.33074951171875,624100,67.54283142089844,9765100,60.89805603027344,370300,65.4947280883789,491700,205.6783447265625,37019000,31.48331642150879,66371000,25.672029495239258,9660000,69.3360595703125,8291100,77.28103637695312,12927600,49.9425163269043,16603500,46.805274963378906,39062800,19.376502990722656,2990100,24.374961853027344,,,25839400,27.237060546875,11488400,26.842580795288086,134816100,249.2454376220703,4079270000,2837.5400390625
2018-01-25,2246800,79.7299575805664,416067,38.42218017578125,7394200,45.971153259277344,704600,52.18059158325195,16566800,11.461104393005371,185300,90.20646667480469,552600,68.0848388671875,6347700,60.43076705932617,401100,66.3194808959961,217100,205.24063110351562,25951800,31.427940368652344,45423700,25.620698928833008,12499200,69.40567779541016,6339300,77.94209289550781,10141600,49.85477828979492,12144600,46.82932662963867,52570000,19.67738914489746,2115900,24.32186508178711,,,23436800,27.023229598999023,15536600,27.020431518554688,84587300,249.35096740722656,3873100000,2839.25
2018-01-26,2835700,79.89514923095703,454406,38.63682174682617,4982600,45.971153259277344,445000,52.67384719848633,10681200,11.57952880859375,146200,90.0578842163086,643000,68.1751708984375,4981200,60.945579528808594,392700,66.70761108398438,399400,209.8706817626953,20097200,31.926292419433594,33871900,25.808900833129883,8008300,70.20647430419922,9784400,79.62079620361328,7832600,50.34435272216797,6342700,47.053741455078125,47900000,19.68896484375,1472300,24.390125274658203,,,15570600,27.170459747314453,7762600,27.138994216918945,107743100,252.2379608154297,3474680000,2872.8701171875
2018-01-29,2123200,79.5482406616211,345926,38.457950592041016,9399900,44.11769104003906,709100,52.04845428466797,9531600,11.334651947021484,130400,89.8389663696289,876300,67.64140319824219,3489400,60.826759338378906,272700,66.07689666748047,571000,203.49952697753906,55179800,31.635581970214844,41037700,25.706247329711914,12870300,69.73644256591797,12643800,79.4033432006836,12710400,50.20579147338867,10760800,46.8693962097168,36121800,19.43822479248047,2092900,24.109521865844727,,,25294400,26.760324478149414,10662200,26.829875946044922,90118300,250.5656280517578,3587420000,2853.530029296875
2018-01-30,3124700,78.4084243774414,506445,38.135982513427734,8820300,44.30944061279297,950300,51.30855941772461,11010000,11.280097961425781,177500,89.66696166992188,692900,67.73174285888672,5626300,59.48032760620117,447400,65.83434295654297,761700,197.67303466796875,29662400,31.349489212036133,67316900,25.37261962890625,16742400,69.18809509277344,14270600,77.73336029052734,10568200,49.95637130737305,10898100,46.55683135986328,26178200,19.472942352294922,2347200,24.010923385620117,,,45503600,26.220495223999023,17635000,26.635087966918945,131796400,247.9954833984375,4012070000,2822.429931640625
2018-01-31,7558700,75.54234313964844,650875,37.86409378051758,10727100,44.784202575683594,861000,51.61685562133789,14206000,11.104321479797363,212300,88.47066497802734,1390000,68.07665252685547,8706300,59.57539749145508,672700,66.12542724609375,859400,194.18099975585938,30135800,31.584821701049805,49504500,25.441062927246094,15988100,69.39698028564453,15858400,76.62872314453125,18902200,49.79472351074219,13757000,46.3404426574707,54822800,19.68896484375,4213100,24.50388526916504,,,31450600,26.238019943237305,19825200,26.656261444091797,108364800,248.11883544921875,4276270000,2823.81005859375
2018-02-01,2107300,75.9718246459961,803097,37.89986038208008,6072700,43.89858627319336,1690200,50.725181579589844,12734800,11.011382102966309,275200,89.90155029296875,588000,67.57569885253906,4649100,59.37739181518555,719100,64.86402893066406,474300,196.25282287597656,32650000,31.612518310546875,60824200,25.680580139160156,14169300,69.27513885498047,12848700,76.65478515625,18706800,49.240482330322266,14094500,46.140071868896484,57039200,19.38035774230957,3937800,24.056427001953125,,,36023200,26.5079345703125,18972200,26.292095184326172,90102500,247.83702087402344,3977380000,2821.97998046875
2018-02-02,2045700,75.81492614746094,731700,37.01265335083008,7556700,42.3372917175293,1788400,50.18611526489258,10736000,10.821460723876953,404800,89.90935516357422,869000,66.92697143554688,6807800,57.77752685546875,647600,61.71059036254883,450300,191.7298126220703,43929400,30.675809860229492,73086000,25.115989685058594,17929500,67.88248443603516,10539200,75.57627868652344,21381400,48.76935958862305,15569100,45.25846481323242,43612800,19.241483688354492,3719200,23.78340721130371,,,62010800,25.400222778320312,19349400,25.601869583129883,173174800,242.44171142578125,4340220000,2762.1298828125
2018-02-05,2989200,74.60901641845703,923141,36.010948181152344,7225400,40.84904479980469,2142200,49.788448333740234,18331600,10.518397331237793,627900,87.50896453857422,1001900,65.12857818603516,6518200,56.0509147644043,918600,60.10961151123047,526200,183.35482788085938,98559600,29.393037796020508,147871500,23.84992218017578,30309100,64.80128479003906,34979800,72.22755432128906,46093000,47.125091552734375,39487500,43.61546325683594,66944600,18.925172805786133,7652400,23.16910171508789,,,69535200,24.334585189819336,37141400,24.623699188232422,294681800,232.30213928222656,5310840000,2648.93994140625
2018-02-06,2467000,74.97242736816406,960474,37.12712097167969,8093200,42.09989929199219,2049700,49.31124496459961,22496000,10.712359428405762,336500,86.36741638183594,1053900,64.07745361328125,8051600,57.58742141723633,802900,61.37099075317383,702300,185.49473571777344,90269400,30.237457275390625,159006400,24.28619956970215,31980600,65.9850082397461,33313400,73.02777862548828,44665000,48.33058166503906,38881700,44.09634780883789,83343200,18.64356803894043,6741200,23.12360191345215,,,65630400,24.527379989624023,38680600,25.428251266479492,355026800,236.87904357910156,5917350000,2695.139892578125
