Date,MMM_Volume,MMM_Close,AOS_Volume,AOS_Close,ABT_Volume,ABT_Close,ABBV_Volume,ABBV_Close,ACN_Volume,ACN_Close,ADBE_Volume,ADBE_Close,AMD_Volume,AMD_Close,AES_Volume,AES_Close,AFL_Volume,AFL_Close,A_Volume,A_Close,XLK_Volume,XLK_Close,XLF_Volume,XLF_Close,XLI_Volume,XLI_Close,XLV_Volume,XLV_Close,XLY_Volume,XLY_Close,XLP_Volume,XLP_Close,XLU_Volume,XLU_Close,XLRE_Volume,XLRE_Close,XLC_Volume,XLC_Close,XLE_Volume,XLE_Close,XLB_Volume,XLB_Close,SPY_Volume,SPY_Close,sp500_Volume,sp500_Close
2018-01-02,3505476,148.22242736816406,679200,53.066749572753906,10112800,50.506072998046875,4561300,68.77313995361328,3061900,135.55824279785156,2432800,177.6999969482422,44146300,10.979999542236328,4564500,8.03956413269043,4227200,36.27775573730469,1047800,63.52275848388672,27445600,29.872920989990234,55436100,23.884138107299805,14903900,66.25484466552734,6708900,72.72334289550781,9791200,46.27523422241211,20146800,45.3145751953125,24540000,20.132579803466797,1744200,24.837581634521484,,,29782800,25.747264862060547,17958400,25.995676040649414,86655700,236.56211853027344,3397430000,2695.81005859375
2018-01-03,2623665,148.2161407470703,766100,53.3858642578125,5683700,50.61777114868164,4702300,69.84937286376953,2064200,136.1838836669922,2561200,181.0399932861328,154066700,11.550000190734863,6181200,8.03217601776123,3575600,36.384979248046875,1698900,65.1390380859375,22663600,30.122089385986328,56906200,24.012453079223633,18155000,66.6117172241211,7606500,73.41919708251953,10638000,46.48770523071289,17950400,45.29853820800781,41615800,19.97441864013672,1715100,24.84516143798828,,,38599200,26.13286018371582,9904600,26.177766799926758,90070400,238.05848693847656,3544030000,2713.06005859375
2018-01-04,2682748,150.15353393554688,934500,53.63597106933594,6240000,50.5318603515625,3579000,69.45101165771484,1777000,137.7964630126953,2211400,183.22000122070312,109503000,12.119999885559082,5150000,8.002618789672852,3323200,36.76025390625,2230700,64.650390625,21493200,30.274370193481445,62247000,24.234872817993164,16483000,67.09911346435547,7762500,73.5235366821289,6914800,46.64011764526367,15455100,45.42676544189453,29943600,19.808551788330078,1824100,24.42046356201172,,,28613600,26.290603637695312,8240200,26.40642738342285,80636400,239.06178283691406,3697340000,2723.989990234375
2018-01-05,2195736,151.32359313964844,619400,54.32594299316406,5836900,50.67790603637695,4599300,70.66001892089844,1597600,138.93309020996094,2376500,185.33999633789062,63808900,11.880000114440918,5388200,8.03217601776123,2737800,37.00355911254883,1632500,65.68404388427734,19356000,30.592756271362305,37989500,24.30331039428711,16996200,67.56043243408203,7579300,74.1498031616211,8588800,47.009620666503906,15555100,45.62713623046875,46832600,19.80083656311035,1400200,24.473548889160156,,,28408800,26.28008270263672,9344000,26.618146896362305,83524000,240.6549835205078,3239280000,2743.14990234375
2018-01-08,2235324,150.83291625976562,572300,54.58468246459961,5411500,50.5318603515625,5582000,69.52791595458984,2616900,140.04336547851562,2088000,185.0399932861328,63346000,12.279999732971191,6689100,8.03217601776123,2866400,37.0984001159668,1613400,65.82498931884766,13467800,30.70810890197754,44252100,24.269092559814453,5727500,67.83898162841797,5167300,73.88018035888672,5340000,47.06504440307617,12891000,45.739341735839844,28601000,19.985998153686523,990600,24.640398025512695,,,19558400,26.43783187866211,9078200,26.6562557220459,57319200,241.09507751464844,3246160000,2747.7099609375
2018-01-09,2027340,151.77015686035156,526400,54.54154968261719,7466900,50.61777114868164,4055400,70.05203247070312,3204700,140.51036071777344,1804300,186.6999969482422,62560900,11.819999694824219,9311600,7.950894355773926,3404800,37.114906311035156,2666100,67.44127655029297,21212800,30.62966537475586,51418700,24.457294464111328,8967700,68.27416229248047,6962900,74.74996948242188,6321800,47.15740966796875,8357600,45.67521667480469,30877400,19.789262771606445,1277200,24.35978889465332,,,18469000,26.37122344970703,9511000,26.613916397094727,57254000,241.64071655273438,3467460000,2751.2900390625
2018-01-10,1962516,151.68202209472656,634400,54.68815231323242,4340800,50.54044723510742,4608600,69.66767883300781,1624100,140.01686096191406,1664300,187.11000061035156,52561200,11.960000038146973,5026200,7.965671539306641,3336600,37.42005920410156,2957200,66.52035522460938,20815600,30.52353286743164,64670900,24.662599563598633,11669500,68.26548767089844,10835800,74.61946868896484,5677800,47.125091552734375,9663500,45.45081329345703,31124000,19.5732364654541,2174500,23.980594635009766,,,21644000,26.339672088623047,8440800,26.453006744384766,69574300,241.27099609375,3579900000,2748.22998046875
2018-01-11,1779289,152.4180145263672,558700,55.84385681152344,4240900,50.88572692871094,4240900,69.87178039550781,1809200,140.2020263671875,1600100,188.9199981689453,38354900,12.140000343322754,8242700,8.098682403564453,2754400,37.81183624267578,1511100,66.5297622680664,15775600,30.648122787475586,42361700,24.782363891601562,9448300,69.13584899902344,4247800,74.94131469726562,7245400,47.89179229736328,11500800,45.38670349121094,33091000,19.499942779541016,1343200,23.82891273498535,,,36179000,26.8795108795166,11642600,26.800233840942383,62361500,243.03135681152344,3645690000,2767.56005859375
2018-01-12,2361263,153.7767333984375,856600,56.33544921875,6320900,50.790775299072266,4372600,70.6249008178711,2048800,141.08314514160156,4246000,195.0500030517578,47149300,12.020000457763672,8527400,8.157793998718262,27589200,35.02821731567383,1448100,67.4036865234375,16308600,30.828081130981445,44537500,25.00478172302246,7436200,69.77996063232422,5391700,75.515380859375,8075600,48.510704040527344,7308900,45.402732849121094,37270600,19.38806915283203,1657200,23.65448760986328,,,39638400,27.1389102935791,9097400,26.842578887939453,90816100,244.61566162109375,3587220000,2786.239990234375
2018-01-16,2883676,153.94651794433594,1003200,56.11985397338867,7175000,50.44548797607422,8528600,72.13819122314453,2858700,139.18865966796875,4595600,192.4600067138672,42686600,11.90999984741211,12412800,7.891778945922852,10066200,35.626182556152344,1702700,66.93383026123047,36443600,30.70810890197754,67563800,24.93634605407715,13343700,69.15326690673828,8920000,75.88938903808594,18503200,48.164310455322266,13806700,45.611106872558594,54585600,19.34564208984375,5520200,23.76823616027832,,,33789800,26.795385360717773,17025800,26.52922821044922,106555100,243.779541015625,4362880000,2776.419921875
