Date,CHRW_Volume,CHRW_Close,EHC_Volume,EHC_Close,DHI_Volume,DHI_Close,LW_Volume,LW_Close,FAST_Volume,FAST_Close,THG_Volume,THG_Close,ATO_Volume,ATO_Close,TGT_Volume,TGT_Close,WCC_Volume,WCC_Close,AMG_Volume,AMG_Close,XLK_Volume,XLK_Close,XLF_Volume,XLF_Close,XLI_Volume,XLI_Close,XLV_Volume,XLV_Close,XLY_Volume,XLY_Close,XLP_Volume,XLP_Close,XLU_Volume,XLU_Close,XLRE_Volume,XLRE_Close,XLC_Volume,XLC_Close,XLE_Volume,XLE_Close,XLB_Volume,XLB_Close,SPY_Volume,SPY_Close,sp500_Volume,sp500_Close,days,week
2020-01-02,1258800,67.25432586669922,653891,51.1716194152832,3492000,49.28206253051758,1593400,75.76338195800781,8380600,15.788183212280273,173400,117.80512237548828,906900,94.6113052368164,5149800,106.47150421142578,1567700,57.13080978393555,551100,83.52253723144531,26567000,44.294166564941406,28843300,27.642967224121094,16121300,75.15052795410156,6277400,92.30609130859375,12591000,60.15519332885742,14460700,52.989933013916016,38215400,26.264921188354492,4380100,31.01464080810547,6379500.0,51.0521125793457,23889400,23.356090545654297,14714800,26.7652530670166,59151200,296.88818359375,3459930000,3257.85009765625,0,626
2020-01-03,892000,67.17655181884766,816547,51.17901611328125,4330400,49.647674560546875,3940600,84.29566955566406,8202600,15.508295059204102,251900,117.80512237548828,724200,95.23703002929688,5018500,105.36515808105469,2559700,57.198734283447266,551600,82.48834991455078,30023600,43.79617691040039,51363600,27.349464416503906,17571300,75.00568389892578,8247500,91.50167846679688,11192800,59.64325714111328,26388900,52.905120849609375,35978600,26.318429946899414,3499000,31.24184799194336,2351400.0,50.72280502319336,59005800,23.286684036254883,24846400,26.333127975463867,77709700,294.6400451660156,3484700000,3234.85009765625,1,626
2020-01-06,1098300,66.11368560791016,1354040,50.994041442871094,4305500,50.069522857666016,1960200,81.7188720703125,8270400,15.26657485961914,326100,118.36621856689453,822900,95.10844421386719,4226900,104.36860656738281,987300,56.76209259033203,376300,82.86622619628906,15630000,43.900508880615234,27956100,27.3316707611084,16153100,75.03286743164062,6441800,92.07111358642578,12823200,59.80916976928711,22541700,53.015380859375,20889000,26.34312629699707,3097200,31.249967575073242,2535900.0,51.40022659301758,44916200,23.467893600463867,31528800,26.21847915649414,55653900,295.76409912109375,3702460000,3246.280029296875,4,627
2020-01-07,1147100,67.67774200439453,546418,50.48351287841797,4440400,49.88204574584961,1768800,82.17837524414062,6216600,15.236886024475098,134800,117.56346130371094,875500,95.74273681640625,3641600,104.55438995361328,815300,57.62565994262695,432000,81.93146514892578,15363600,43.881553649902344,39627500,27.153793334960938,16675400,74.87895202636719,6335300,91.89034271240234,18301600,59.714378356933594,15607600,52.6082878112793,26140600,26.306079864501953,3550600,30.90913200378418,2642800.0,51.46609115600586,22925000,23.406208038330078,40533800,26.187618255615234,40496400,294.93255615234375,3435910000,3237.179931640625,5,627
2020-01-08,1132400,68.092529296875,1080266,50.979251861572266,5279600,50.15389633178711,1516400,82.22343444824219,7591800,15.351386070251465,191800,117.7878646850586,905100,94.91986846923828,5731600,104.21658325195312,683300,57.761505126953125,541700,82.07068634033203,23254400,44.35111999511719,47966600,27.3316707611084,10677700,75.1324234008789,7494700,92.48685455322266,9451800,59.89448928833008,11451400,52.803348541259766,25482800,26.29373550415039,5089000,31.063331604003906,4161200.0,51.83304214477539,38042800,23.020662307739258,16159200,26.28021240234375,68296000,296.50439453125,3726840000,3253.050048828125,6,627
2020-01-09,816400,68.63691711425781,996173,50.979251861572266,5505200,49.938289642333984,945700,81.79998016357422,7622800,15.359867095947266,139700,119.07400512695312,834600,95.22843933105469,5369700,104.30103302001953,1622400,56.80091857910156,670100,82.46846008300781,15554800,44.85383987426758,27705300,27.500667572021484,7407200,75.44928741455078,6660600,92.88452911376953,7643000,60.212074279785156,6854500,53.176513671875,23286200,26.43779754638672,2885000,31.05521011352539,2297100.0,52.105892181396484,30733600,23.1903018951416,7572400,26.377222061157227,48473300,298.5148620605469,3641230000,3274.699951171875,7,627
2020-01-10,1427100,69.233154296875,1161468,52.51084518432617,3681100,50.40701675415039,908900,81.52067565917969,7084800,15.40652084350586,161300,118.2108154296875,543400,95.47702026367188,4678000,105.33980560302734,693300,56.41279983520508,865800,82.46846008300781,15330600,44.749507904052734,33458200,27.296096801757812,8856800,74.91517639160156,9300300,92.91162872314453,7407000,59.885005950927734,7410800,53.14259338378906,21165800,26.507768630981445,6513200,31.355451583862305,1941800.0,51.89889907836914,18302400,23.059219360351562,11274800,26.27140235900879,53029300,297.6557922363281,3214580000,3265.35009765625,8,627
2020-01-13,938800,69.52694702148438,1837734,56.73569869995117,2383600,50.219520568847656,1586800,82.1963882446289,6335200,15.516775131225586,202500,118.12449645996094,403400,96.46269989013672,3632800,104.61353302001953,3297700,54.753597259521484,400000,84.07946014404297,15524400,45.309165954589844,27542700,27.482879638671875,7893800,75.53075408935547,7621700,92.58627319335938,6449200,60.07461166381836,9625700,53.490318298339844,25342200,26.66830062866211,2988100,31.736845016479492,2854000.0,52.388160705566406,17557000,23.066930770874023,8818600,26.610919952392578,47086800,299.7029113769531,3459390000,3288.1298828125,11,628
2020-01-14,1377900,70.64166259765625,1472073,57.37940216064453,2578700,50.89448547363281,685500,81.69182586669922,10991200,15.614310264587402,203900,118.94454956054688,601400,96.69416809082031,3291900,105.78744506835938,2399500,54.7244873046875,420900,84.30815887451172,16134600,45.09573745727539,37575400,27.42951202392578,9649400,75.5398178100586,7294900,93.14662170410156,8681200,60.055641174316406,7512300,53.50728225708008,22990000,26.746509552001953,3720200,31.582672119140625,2909600.0,52.256446838378906,34678000,23.07078742980957,11010200,26.500688552856445,62832800,299.24591064453125,3687620000,3283.14990234375,12,628
2020-01-15,2229500,72.15385437011719,1258886,57.342411041259766,3846500,51.50383377075195,809300,81.88105010986328,8731600,15.601588249206543,187200,119.48832702636719,561900,97.4998779296875,26743400,98.8115005493164,1481200,53.9482536315918,456500,84.21868896484375,14417000,45.14789962768555,41457300,27.278308868408203,12014500,75.65752410888672,7521800,93.9510269165039,6523800,59.91819381713867,12454300,53.88893127441406,31771800,27.12107276916504,4468700,31.801774978637695,2136800.0,52.510475158691406,21661600,22.901147842407227,7797000,26.681468963623047,72056600,299.92218017578125,3721490000,3289.2900390625,13,628
